"date";"year";"week";"ship_units";"clean_su";"ship_ma";"ship_ma30"
2015-03-25;2015;12;3;3;NA;NA
2015-03-26;2015;13;9;9;NA;NA
2015-04-08;2015;14;115;115;NA;NA
2015-04-09;2015;15;229;229;91.8571428571429;NA
2015-04-10;2015;15;98;98;105.142857142857;NA
2015-04-13;2015;15;120;120;122.142857142857;NA
2015-04-14;2015;15;69;69;122.571428571429;NA
2015-04-15;2015;15;96;96;122.285714285714;NA
2015-04-16;2015;16;128;128;126.142857142857;NA
2015-04-17;2015;16;118;118;132.571428571429;NA
2015-04-20;2015;16;227;227;137;NA
2015-04-21;2015;16;125;125;140.714285714286;NA
2015-04-22;2015;16;165;165;135;NA
2015-04-23;2015;17;100;100;133.571428571429;NA
2015-04-24;2015;17;122;122;114.857142857143;NA
2015-04-27;2015;17;88;88;110.142857142857;120.916666666667
2015-04-28;2015;17;108;108;104.142857142857;124.7
2015-04-29;2015;17;96;96;100;126.133333333333
2015-04-30;2015;18;92;92;107.428571428571;124.266666666667
2015-05-04;2015;18;123;123;116.285714285714;123.783333333333
2015-05-05;2015;18;71;71;108.857142857143;124.55
2015-05-06;2015;18;174;174;116;126.3
2015-05-07;2015;19;150;150;129.142857142857;128.6
2015-05-08;2015;19;56;56;131.714285714286;127.616666666667
2015-05-11;2015;19;146;146;140.714285714286;126.966666666667
2015-05-12;2015;19;184;184;135.285714285714;127.366666666667
2015-05-13;2015;19;141;141;135.571428571429;126.916666666667
2015-05-14;2015;20;134;134;143;126.716666666667
2015-05-15;2015;20;136;136;140.857142857143;126.05
2015-05-18;2015;20;152;152;125.857142857143;126.866666666667
2015-05-19;2015;20;108;108;127.571428571429;130.316666666667
2015-05-20;2015;20;131;131;129.142857142857;133.7
2015-05-21;2015;21;79;79;126.714285714286;135.95
2015-05-22;2015;21;153;153;130;137.65
2015-05-25;2015;21;145;145;132.857142857143;139.866666666667
2015-05-26;2015;21;119;119;119.428571428571;144.15
2015-05-27;2015;21;175;175;132.428571428571;145.75
2015-05-28;2015;22;128;128;139;143.583333333333
2015-05-29;2015;22;37;37;136.285714285714;143.5
2015-06-01;2015;22;170;170;141;143.866666666667
2015-06-02;2015;22;199;199;126.428571428571;141.683333333333
2015-06-03;2015;22;126;126;136.428571428571;141.116666666667
2015-06-04;2015;23;152;152;162.428571428571;143.166666666667
